web-scraper-order,web-scraper-start-url,Título,Canon,Área,Habitaciones,Dirección
"1697825531-1","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Amoblado Para Arrendar $ 3.000.000","520.000.000","73 m² cubiertos","2 habs.","Carrera 8a #99-22, Bogotá, Colombia, Chicó Reservado, Chapinero, Bogotá D.c."
"1697825531-2","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Placas Metálicas Reflectivas Bogotá 15x30 Cm","39.900","","",""
"1697825531-3","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartaestudio Amoblado Por Días Y Meses","65.000","24 m² cubiertos","1 hab.","Carrera 73 A #66-48, Boyacá, Engativa, Bogotá D.c."
"1697825531-4","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Bachue Arriendo Apartamento Piso 3","780.000","45 m² cubiertos","2 habs.","Bachue, Engativa, Bogotá D.c."
"1697825531-5","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En El Sector De Los Cambulos Manizales","1.200.000","52 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-6","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Bosque De Las Américas C. R.nuevo Techo Kennedyarriendo Apartamento","900.000","36 m² cubiertos","2 habs.","Castilla, Kennedy, Bogotá D.c."
"1697825531-7","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Barato En Venta En Kennedy Bogotá","240.000.000","55 m² cubiertos","2 habs.","Kennedy Central, Kennedy, Bogotá D.c."
"1697825531-8","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Barato En Venta En Suba","287.000.000","70 m² cubiertos","3 habs.","Suba, Bogotá D.c."
"1697825531-9","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Vendo Apartamentos En Bello Horizonte","115.000.000","32 m² totales","","Cra 5  31 Sur, Bello Horizonte, San Cristobal Sur, Bogotá D.c."
"1697825531-10","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Venta Apartamento En  Castilla Conjunto Rincon De Techo","218.000.000","58 m² cubiertos","3 habs.","Castilla, Kennedy, Bogotá D.c."
"1697825531-11","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Se Vende Apto En Chapinero","480.000.000","109 m² cubiertos","3 habs.","Chapinero, Bogotá D.c."
"1697825531-12","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Local En Arrendar En Bogotá D.c.","15.200.000","950 m² cubiertos","","Sur, San Cristobal Sur, Bogotá D.c."
"1697825531-13","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Edificio En Arrendar En Bogotá D.c.","88.000.000","1.600 m² cubiertos","","Modelia, Fontibón, Bogotá D.c."
"1697825531-14","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Bodega Para Arrendar En Bogotá D.c.","39.000.000","2.400 m² cubiertos","","Puente Aranda, Bogotá D.c."
"1697825531-15","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","56.500.000","3.111 m² cubiertos","","Sur, San Cristobal Sur, Bogotá D.c."
"1697825531-16","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","3.000.000","76 m² cubiertos","","Pasadena, Suba, Bogotá D.c."
"1697825531-17","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Venta Casa Con 2 Apartamentos Arrendar Los Patios Cucuta","300.000.000","183 m² cubiertos","8 habs.","Doce De Octubre, Los Patios, Norte De Santander"
"1697825531-18","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar Po Temporadas","230.000.000","55 m² cubiertos","1 hab.","Florida Nueva, Laureles - Estadio, Medellín, Antioquia, Colombia, Florida Nueva, Medellín, Antioquia"
"1697825531-19","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","9.800.000","217 m² cubiertos","","Santa Bárbara, Usaquén, Bogotá D.c."
"1697825531-20","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","26.315.900","429 m² cubiertos","","Santa Bárbara, Usaquén, Bogotá D.c."
"1697825531-21","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Gangazoooo...vendo Casa Amplia Con Apartamento Independiente Para Arrendar (oportunidad De Ingreso Extra)","298.000.000","126 m² cubiertos","7 habs.","Carrera 74 B 98, Castilla, Medellín, Antioquia"
"1697825531-22","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Venta  Apartamento Sector Aguacatala -7 Habitaciones Para  Arrendar","1.380.000.000","250 m² cubiertos","8 habs.","El Poblado, Medellín, Antioquia"
"1697825531-23","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Alquiler Apartamento Amoblado Temporal Bogotá Días, Semanas","50.000","70 m² cubiertos","2 habs.","Carrera 68g 63c 11, El Chicó, Chapinero, Bogotá D.c."
"1697825531-24","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","31.500.000","1.749 m² cubiertos","","Sur, San Cristobal Sur, Bogotá D.c."
"1697825531-25","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","9.533.150","173 m² cubiertos","","Aeropuerto Eldorado, Fontibón, Bogotá D.c."
"1697825531-26","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En El Barrio Versalles","1.400.000","76 m² cubiertos","3 habs.","Manizales, Caldas"
"1697825531-27","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Amoblado X  Días, Semana, Meses, Y Años","99.999","60 m² cubiertos","2 habs.","Cra. 69b #24-39, Bogotá, Colombia, Salitre Nor - Occidental, Fontibón, Bogotá D.c."
"1697825531-28","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Vendo Penthouse Mazuren Bogota","1.550.000.000","380 m² cubiertos","4 habs.","La Colina Campestre, Suba, Bogotá D.c."
"1697825531-29","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","67.405.000","1.037 m² cubiertos","","Santa Bárbara, Usaquén, Bogotá D.c."
"1697825531-30","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","19.000.000","357 m² cubiertos","","Usaquén, Bogotá D.c."
"1697825531-31","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En Villa Pila, Manizales","1.050.000","67 m² cubiertos","","Manizales, Caldas"
"1697825531-32","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En  La Argentina Manizales","1.250.000","77 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-33","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Se Vende Hermoso Apartamento","210.000.000","55 m² cubiertos","3 habs.","Calle 186c Bis #15-69, Bogotá, Colombia, El Toberín, Usaquén, Bogotá D.c."
"1697825531-34","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Casa 2 Pisos Para Proyecto O Arrendar","360.000.000","180 ha totales","","Cra 86  87-57, La Gaitana, Suba, Bogotá D.c."
"1697825531-35","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Casa Comercial Para Arrendar En Belén, Manizales","2.800.000","150 m² cubiertos","4 habs.","Manizales, Caldas"
"1697825531-36","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En El Barrio Versalles","1.400.000","60 m² cubiertos","3 habs.","Manizales, Caldas"
"1697825531-37","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Vendo Lindo Apartamento En San Cristobal Sur","160.000.000","50 m² cubiertos","3 habs.","Diagonal 15 B Sur  11, San Cristóbal Sur, San Cristobal Sur, Bogotá D.c."
"1697825531-38","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Villa Elisa, Suba","160.000.000","58 m² cubiertos","3 habs.","Calle 135a #92a-19, Bogotá, Colombia, Villa Elisa, Suba, Bogotá D.c."
"1697825531-39","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En El Sector De Los Cambulos Manizales","1.200.000","52 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-40","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En  Los Cedros  Manizales","1.250.000","77 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-41","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Vende Apartamento Dúplex Suba Lombardía","158.990.000","55 m² cubiertos","2 habs.","Calle 142 #112-30, Bogotá, Colombia, Lombardia, Suba, Bogotá D.c."
"1697825531-42","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Alquiler Apartamento Amoblado Temporal Bogotá Días, Semanas","50.000","70 m² cubiertos","2 habs.","Carrera 68g #63c-11, Bogotá, Colombia, Bosque Popular, Engativa, Bogotá D.c."
"1697825531-43","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En La Enea, Manizales","950.000","65 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-44","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En La Enea, Manizales","950.000","65 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-45","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento En Arriendo Santa Isabel Occidental 1132-2021209247","850.000","45 m² cubiertos","2 habs.","Santa Isabel Occidental, Santa Isabel Occidental, Puente Aranda, Bogotá D.c."
"1697825531-46","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Casa Rentable En Kennedy, Con 4 Apartamentos Pequeños","380.000.000","240 m² cubiertos","5 habs.","Calle 47b Sur #80-74, Casa Blanca, Bogotá, Colombia, El Almenar, Kennedy, Bogotá D.c."
"1697825531-47","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En Robledo","1.350.000","42 m² cubiertos","2 habs.","Carrera 88a  #68-19, Robledo, Medellín, Antioquia"
"1697825531-48","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En Altos De Berlin","1.000.000","75 m² cubiertos","3 habs.","Carrera 23 Sur, Ibagué, Tolima, Colombia, Ibagué, Tolima"
"1697825531-49","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Permuto Casa Chia Por Apartamento Bogota","1.250.000.000","281 m² cubiertos","4 habs.","Chia Cundinamarca, Chía, Cundinamarca"
"1697825531-50","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento En Arriendo Rincon De Santa Ines 1132-2021205440","950.000","55 m² cubiertos","3 habs.","Rincon De Santa Ines, Rincón De Santa Inés, Suba, Bogotá D.c."
